                                                                12.03.2024 15:09
________________________________________________________________________________



Kurvenname:
  !]36[Avrami-AB12-CD34-1
Kurvenwerte:
          Index              t             Ts             Tr           Wert
                           [s]           [°C]           [°C]        [Wg^-1]
              0              0         48,390         48,000        1,46505
              1              1         48,389         48,000        1,45849
              2              2         48,386         48,000        1,44964
              3              3         48,384         48,000        1,43968
              4              4         48,381         48,000        1,42982
              5              5         48,378         48,000        1,42003
              6              6         48,376         48,000        1,41027
              7              7         48,373         48,000        1,40081
              8              8         48,371         48,000        1,39148
              9              9         48,368         48,000        1,38229
             10             10         48,366         48,000        1,37311
             11             11         48,363         48,000        1,36398
             12             12         48,361         48,000        1,35412
             13             13         48,357         48,000          1,341
             14             14         48,353         48,000        1,32416
             15             15         48,344         48,000        1,28952
             16             16         48,330         48,000        1,23847
             17             17         48,310         48,000         1,1624
             18             18         48,285         48,000        1,06849
             19             19         48,254         48,000       0,953402
             20             20         48,224         48,000       0,839276
             21             21         48,195         48,000       0,730374
             22             22         48,167         48,000       0,626545
             23             23         48,144         48,000       0,539451
             24             24         48,123         48,000       0,461935
             25             25         48,105         48,000       0,395071
             26             26         48,089         48,000       0,335088
             27             27         48,077         48,000       0,289031
             28             28         48,066         48,000       0,248565
             29             29         48,057         48,000       0,213761
             30             30         48,049         48,000       0,182496
             31             31         48,042         48,000       0,158436
             32             32         48,037         48,000       0,137508
             33             33         48,032         48,000       0,119852
             34             34         48,028         48,000       0,104204
             35             35         48,025         48,000      0,0925718
             36             36         48,022         48,000      0,0826035
             37             37         48,020         48,000      0,0743686
             38             38         48,018         48,000      0,0672301
             39             39         48,017         48,000      0,0623192
             40             40         48,016         48,000       0,058379
             41             41         48,015         48,000       0,055497
             42             42         48,014         48,000      0,0534069
             43             43         48,014         48,000      0,0527831
             44             44         48,014         48,000      0,0528656
             45             45         48,014         48,000      0,0536673
             46             46         48,015         48,000      0,0549982
             47             47         48,015         48,000      0,0576607
             48             48         48,016         48,000      0,0609451
             49             49         48,017         48,000      0,0649981
             50             50         48,019         48,000      0,0695614
             51             51         48,020         48,000       0,075236
             52             52         48,022         48,000      0,0815669
             53             53         48,024         48,000      0,0886332
             54             54         48,026         48,000      0,0961935
             55             55         48,028         48,000       0,104981
             56             56         48,030         48,000       0,114367
             57             57         48,033         48,000       0,124402
             58             58         48,036         48,000       0,134962
             59             59         48,039         48,000        0,14662
             60             60         48,042         48,000       0,158841
             61             61         48,046         48,000       0,171735
             62             62         48,049         48,000       0,185086
             63             63         48,053         48,000       0,199016
             64             64         48,057         48,000       0,213426
             65             65         48,061         48,000       0,228259
             66             66         48,065         48,000       0,243619
             67             67         48,069         48,000        0,25953
             68             68         48,073         48,000        0,27564
             69             69         48,078         48,000       0,292023
             70             70         48,082         48,000        0,30857
             71             71         48,087         48,000       0,325481
             72             72         48,091         48,000       0,342541
             73             73         48,096         48,000        0,35977
             74             74         48,100         48,000        0,37705
             75             75         48,105         48,000       0,394344
             76             76         48,110         48,000       0,411609
             77             77         48,114         48,000       0,428858
             78             78         48,119         48,000       0,446059
             79             79         48,123         48,000       0,463107
             80             80         48,128         48,000       0,480118
             81             81         48,132         48,000       0,496933
             82             82         48,137         48,000       0,513617
             83             83         48,141         48,000        0,52988
             84             84         48,145         48,000       0,545917
             85             85         48,150         48,000       0,561653
             86             86         48,154         48,000       0,577202
             87             87         48,158         48,000       0,592297
             88             88         48,162         48,000        0,60695
             89             89         48,166         48,000       0,621241
             90             90         48,169         48,000       0,635112
             91             91         48,173         48,000       0,648462
             92             92         48,176         48,000       0,661381
             93             93         48,180         48,000       0,673974
             94             94         48,183         48,000       0,686205
             95             95         48,186         48,000       0,697506
             96             96         48,189         48,000       0,708555
             97             97         48,192         48,000       0,718982
             98             98         48,194         48,000       0,728973
             99             99         48,197         48,000       0,738385
            100            100         48,199         48,000       0,747191
            101            101         48,201         48,000       0,755599
            102            102         48,203         48,000       0,763599
            103            103         48,205         48,000       0,770577
            104            104         48,207         48,000        0,77731
            105            105         48,209         48,000       0,783452
            106            106         48,210         48,000        0,78914
            107            107         48,212         48,000       0,793958
            108            108         48,213         48,000       0,798324
            109            109         48,214         48,000       0,802162
            110            110         48,215         48,000        0,80568
            111            111         48,215         48,000       0,808295
            112            112         48,216         48,000       0,810433
            113            113         48,216         48,000       0,812042
            114            114         48,217         48,000       0,813501
            115            115         48,217         48,000        0,81394
            116            116         48,217         48,000       0,813924
            117            117         48,217         48,000       0,813591
            118            118         48,217         48,000       0,813066
            119            119         48,216         48,000        0,81151
            120            120         48,216         48,000       0,809734
            121            121         48,215         48,000        0,80743
            122            122         48,214         48,000       0,804739
            123            123         48,214         48,000       0,801537
            124            124         48,213         48,000       0,797838
            125            125         48,212         48,000       0,793849
            126            126         48,210         48,000       0,789698
            127            127         48,209         48,000       0,784617
            128            128         48,208         48,000       0,779334
            129            129         48,206         48,000       0,773787
            130            130         48,205         48,000       0,768097
            131            131         48,203         48,000       0,761634
            132            132         48,201         48,000       0,755038
            133            133         48,199         48,000       0,748146
            134            134         48,197         48,000       0,740866
            135            135         48,195         48,000       0,733125
            136            136         48,193         48,000       0,725272
            137            137         48,191         48,000        0,71717
            138            138         48,189         48,000       0,708746
            139            139         48,187         48,000       0,699935
            140            140         48,184         48,000       0,690975
            141            141         48,182         48,000       0,681819
            142            142         48,179         48,000       0,672543
            143            143         48,177         48,000       0,662963
            144            144         48,174         48,000       0,653245
            145            145         48,171         48,000       0,643363
            146            146         48,169         48,000       0,633374
            147            147         48,166         48,000       0,623126
            148            148         48,163         48,000       0,612851
            149            149         48,161         48,000       0,602413
            150            150         48,158         48,000       0,591943
            151            151         48,155         48,000       0,581329
            152            152         48,152         48,000       0,570687
            153            153         48,149         48,000       0,559974
            154            154         48,146         48,000       0,549193
            155            155         48,143         48,000       0,538361
            156            156         48,141         48,000       0,527577
            157            157         48,138         48,000       0,516796
            158            158         48,135         48,000       0,506007
            159            159         48,132         48,000       0,495261
            160            160         48,129         48,000       0,484521
            161            161         48,126         48,000        0,47377
            162            162         48,123         48,000       0,463024
            163            163         48,121         48,000       0,452447
            164            164         48,118         48,000       0,441894
            165            165         48,115         48,000       0,431426
            166            166         48,112         48,000       0,421026
            167            167         48,109         48,000       0,410741
            168            168         48,107         48,000       0,400572
            169            169         48,104         48,000       0,390522
            170            170         48,101         48,000       0,380489
            171            171         48,099         48,000       0,370717
            172            172         48,096         48,000       0,361059
            173            173         48,094         48,000       0,351539
            174            174         48,091         48,000       0,342027
            175            175         48,089         48,000       0,332796
            176            176         48,086         48,000       0,323726
            177            177         48,084         48,000       0,314863
            178            178         48,082         48,000       0,306116
            179            179         48,079         48,000       0,297599
            180            180         48,077         48,000        0,28921
            181            181         48,075         48,000       0,281005
            182            182         48,073         48,000        0,27292
            183            183         48,071         48,000       0,265101
            184            184         48,069         48,000       0,257405
            185            185         48,067         48,000         0,2499
            186            186         48,065         48,000       0,242521
            187            187         48,063         48,000       0,235496
            188            188         48,061         48,000       0,228617
            189            189         48,059         48,000        0,22193
            190            190         48,057         48,000       0,215354
            191            191         48,056         48,000       0,209032
            192            192         48,054         48,000       0,202848
            193            193         48,052         48,000        0,19685
            194            194         48,051         48,000       0,190983
            195            195         48,049         48,000       0,185423
            196            196         48,048         48,000       0,179977
            197            197         48,047         48,000         0,1747
            198            198         48,045         48,000       0,169508
            199            199         48,044         48,000       0,164553
            200            200         48,043         48,000       0,159714
            201            201         48,041         48,000       0,155025
            202            202         48,040         48,000        0,15046
            203            203         48,039         48,000       0,146162
            204            204         48,038         48,000       0,141946
            205            205         48,037         48,000       0,137865
            206            206         48,036         48,000        0,13388
            207            207         48,035         48,000       0,130152
            208            208         48,034         48,000       0,126498
            209            209         48,033         48,000       0,122988
            210            210         48,032         48,000       0,119598
            211            211         48,031         48,000       0,116333
            212            212         48,030         48,000       0,113103
            213            213         48,029         48,000       0,110051
            214            214         48,029         48,000       0,107119
